Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
Character Relationship Management of Play Script System Based On SaaS,Y. Wang; C. Li; M. Shi; M. Liu,"School of Computer Science and Engineering, Communication University of China, Beijing, China; School of Computer Science and Engineering, Communication University of China, Beijing, China; School of Computer Science and Engineering, Communication University of China, Beijing, China; School of Computer Science and Engineering, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,709,713,"In recent years, the network dramas have been more and more popular, and many people have become the screenwriter and director. How to create a better script has become a hot topic. This paper introduces the play script management system and discusses the realistic significance of character's biography and relationships for both screenwriters and directors. The system uses the online writing mode of the script to draw graphs of relationships and helps screenwriter and director better grasp the relationships among the characters and the plots of the story by visualization. Finally, the graph of relationships can not only help screenwriters create play scripts conveniently but also help directors understand dramas well.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466530,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466530,data visualization;social networking;Neo4j;Force-Directed graph,Biographies;Databases;Films;TV;Social network services;Companies;Data visualization,cloud computing;humanities,character relationship management;play script system;SaaS;network dramas;screenwriter;director;play script management system;online writing mode,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Advertising Email Management Using Multi-Level Reputation System,A. Kawbunjun; W. Lilakiatsakun; U. Thongsatapornwatana,"Faculty of Information Science and Technology, Mahanakorn University of Technology, Bangkok, Thailand; Faculty of Information Science and Technology, Mahanakorn University of Technology, Bangkok, Thailand; Faculty of Information Science and Technology, Mahanakorn University of Technology and Defence Technology Institute, Ministry of Defence, Bangkok, Thailand",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,1,8,"Currently, a large number of emails from sources either wanted or unwanted sites are sent to our mail box every day. Most of emails from unwanted sites are left unread and finally deleted without opening. Emails even from some subscribed sites that are no longer interested are also left unread. The problem is that it could not have an easy way to unsubscribe or make unwanted senders stop sending emails to us. Thus, we propose Email Management Framework to help recipients gradually reducing emails from unwanted senders automatically. This framework has used centralized user feedback databases and multi-level reputation system. We divided false reporting feedback into positive and negative feedback to prevent sending mistaken emails to recipients. From our experiments, the results show that the proposed framework can increase accuracy rate of classification 6.20% compared to traditional process. Furthermore, the framework can provide the way to manage email sending automatically by using feedback from recipient's behavior. Recipients are ensured that they would finally receive only wanted emails. Unwanted emails will gradually be reduced automatically. Additionally, for sender's perspective, the framework also provide value-added information who are their real customers and are still interested in their information.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466418,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466418,Message systems;unsolicited electronic mail;email classification;reputation system;user feedback,Electronic mail;Advertising;Reliability;IP networks;Systems support;Information science,unsolicited e-mail,multilevel reputation system;unwanted sites;mistaken emails;unwanted emails;advertising email management;subscribed sites;centralized user feedback databases,,,19,,,,,IEEE,IEEE Conferences,,,,,,
Comprehensive Evaluation Research on Farmer Entrepreneurship Based on Poverty Alleviation,X. Xu; R. Han,"College of Economics and Business Administration, Zhengzhou Normal University, Zhengzhou, China; College of Economics and Business Administration, Zhengzhou Normal University, Zhengzhou, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,806,810,"Based on economics and entrepreneurship theory, this paper has analyzed influence factors of famer entrepreneurship under the background of targeted poverty alleviation from ""three bodies one agent"". And then, it reported farmer entrepreneur' current situation and built farmer entrepreneurship evaluation index system. Using fuzzy mathematics analytical method and MATLAB software, this paper did not only conduct evaluation analysis on farmer entrepreneurship in Qixian County, Henan Province, but reflected the overall ability of farmer entrepreneurship in this town.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466386,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466386,stargeted poverty alleviation;Delphi method;fuzzy mathematics method;famer entrepreneurship evaluation,Entrepreneurship;Indexes;Economics;Mathematical model;Government policies;Industries,fuzzy set theory;innovation management,comprehensive evaluation research;entrepreneurship theory;famer entrepreneurship;targeted poverty alleviation;farmer entrepreneur current situation;evaluation analysis;farmer entrepreneurship evaluation index system,,,7,,,,,IEEE,IEEE Conferences,,,,,,
TheArchitect: A Serverless-Microservices Based High-level Architecture Generation Tool,K. J. P. G. Perera; I. Perera,"Department of Computer Science and Engineering, University Of Moratuwa, Katubedda, Sri Lanka; Department of Computer Science and Engineering, University Of Moratuwa, Katubedda, Sri Lanka",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,204,210,"Software is ubiquitous in today's systems and business operations. Most importantly the architecture of a software system determines its quality and longevity, because the development work related to the software system will be carried out to be in line with its architecture design. Hence, it's highly important to structure the high-level software architecture accordingly to deliver the expected customer requirements while accounting for quality measures such as scalability, high availability and high performance. We propose TheArchitect, a serverless-microservices based high-level architecture generation tool, which will auto generate serverless-microservices based high-level architecture for a given business application, preserving the highlighted quality measures providing a tool based support for the software architect with respect to designing the high-level architecture. TheArchitect will provide any software developer to generate a proper architecture minimizing the involvement of an experienced software architect. Furthermore, the positives that microservices and serverless technologies has brought to the world of software engineering has made the software engineering community shift from the era of building large monolith applications containing overly complex designs, to microservices and serverless based technologies. Hence TheArchitect focuses on generating best fitted microservices and serverless based high-level architecture for a given application.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466390,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466390,Software Architecture;Microservices Architecture;Serverless Architecture,Computer architecture;Software;Calculators;Data models;Databases;Tools;Architecture,software architecture,business operations;software system;high-level software architecture;software developer;software engineering community shift;serverless based technologies;TheArchitect tool;serverless-microservices based high-level architecture generation tool,,,25,,,,,IEEE,IEEE Conferences,,,,,,
Design of Virtual Reality based Intelligent Storytelling Platform with Human Computer Interaction,K. B. Pradeep Raj; S. Sinha; R. S. Arvind; D. Solanki; U. Lahiri,"Cognitive Science, IIT Gandhinagar, Gujarat, India; Computer Science and Engineering, IIT Gandhinagar, Gujarat, India; Electrical Engineering, IIT Gandhinagar, Gujarat, India; Electrical Engineering, IIT Gandhinagar, Gujarat, India; Electrical Engineering, IIT Gandhinagar, Gujarat, India",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,142,147,"Teaching a set of skills in the form of story-telling is often considered to be effective for children. Again, the advancement in computer technology has helped us in harnessing the story-telling delivered through an interactive and gaming environment. There are several studies which indicate the use of computer and Virtual Reality (VR) based technology in offering story-telling platform. However, often these are framed in an open loop architecture in which a user is allowed to author his/her own story or, computer-based simulated agent narrates a pre-designed story. Providing a closed loop architecture that can offer both story-authoring and intelligent story-telling facilities in which an agent can knit the story based on the thoughts of the user authoring the story might encourage one to learn effectively. In our present work, we have developed an intelligent VR-based story-authoring and story-telling platform.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466457,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466457,Virtual reality;story-telling;intelligent systems;data scrapping,Rivers;Fish;Virtual reality;Three-dimensional displays;Computer architecture;Electrical engineering;Engines,humanities;interactive systems;virtual reality,intelligent VR-based story-authoring;intelligent storytelling platform;human computer interaction;computer technology;gaming environment;open loop architecture;closed loop architecture;intelligent story-telling facilities;virtual reality based technology;computer-based simulated agent,,,12,,,,,IEEE,IEEE Conferences,,,,,,
The Robotic Fish Strategy Based on The Extreme Learning Machine Optimized by Particle Swarm Optimization Algorithm,X. Zhang; S. Chen; Z. Cao; S. Cai; Z. Peng; X. Xiong,"College of automation, Guangdong University of Technology, Guangzhou, China; College of automation, Guangdong University of Technology, Guangzhou, China; College of automation, Guangdong University of Technology, Guangzhou, China; College of automation, Guangdong University of Technology, Guangzhou, China; College of automation, Guangdong University of Technology, Guangzhou, China; College of automation, Guangdong University of Technology, Guangzhou, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,315,320,"Aiming at URWPGSim2D platform, in order to realize rapid and accurate adjustment of the robotic fish, action decision strategy based on the extreme learning machine optimized by particle swarm algorithm is put forward. According to the current environmental information of robotic fish, use the extreme learning machine to choose the optimal hitting point independently, and to determine the optimal combination of velocity and angular velocity of robotic fish. At the same time, the particle swarm optimization algorithm is introduced to optimize the extreme learning machine, which can improve the accuracy and robustness of the extreme learning machine. Verified by URWPGSim2D platform show that: the robotic fish path can be adjusted according to the strategy, realize combinatorial optimization of speed and direction, and find the target in the shortest time and distance. This shows that action decision-making strategy based on extreme learning machine can fully consider the real-time information of robotic fish and water polo, choose a different strategy in different cases, have a strong ability to adapt, meet the requirements of robotic fish for the action decisions.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466496,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466496,URWPGSim2D;robotic fish;particle swarm algorithm;extreme learning machine;action decision-making,Fish;Robot kinematics;Particle swarm optimization;Feedforward neural networks;Training;Birds,decision making;learning (artificial intelligence);mobile robots;particle swarm optimisation;robust control,extreme learning machine optimized;particle swarm optimization algorithm;action decision strategy;optimal hitting point;combinatorial optimization;action decision-making strategy;robotic fish path strategy;URWPGSim2D platform,,,20,,,,,IEEE,IEEE Conferences,,,,,,
Construction on Framework of Rumor Detection and Warning System Based on Web Mining Technology,H. Han; X. Guo,"Communication Strategy of Co-innovation Center, Communication University of China; School of Computer, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,767,771,"The Web 2.0 era brought convenience of information exchange, and also provided variety of channels for proliferation and rapid spread of rumors on the internet. It is necessary to achieve self-purification of the internet information with researching and using web mining technology to automatically identify rumors and inhibit their spread. By analyzing sources of rumors and differentiated acquisition strategies, the current status of web mining technologies, and the research findings about rumors features and recognition, it was constructed that a network rumor detection and early warning system which was composed of three layers and six modules, and structure, functions, processes, and implementation technology paths of the system were discussed. The strategy of collection data was proposing: the system obtains authentication rumor data from the authoritative refuting websites and extracts the topic to acquire potential rumors from massive Internet sites. The detection process of potential rumor information with automation was designed: the authentication rumor data was applied to train machine learning algorithm and to extract features, which were used to identify potential rumors information. It was put forward that the warning forms with marking suspicious rumors and topic-related links automatically on the web identified as rumors to prompt browsing users and guide the network administrators, so as to realize real-time monitoring and early warning of network rumors.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466424,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466424,rumors;web mining;rumors recognition;rumors control,Internet;Crawlers;Feature extraction;Authentication;Social network services;Web mining,data mining;Internet;learning (artificial intelligence);social networking (online),differentiated acquisition strategies;rumors features;network rumor detection;early warning system;authentication rumor data;massive Internet sites;potential rumor information;suspicious rumors;network rumors;Web 2.0 era;information exchange;Internet information;technology paths;web mining technology,,,20,,,,,IEEE,IEEE Conferences,,,,,,
Enhanced Ant Colony Optimization with Local Search,Y. Oonsrikaw; A. Thammano,"Computational Intelligence Laboratory Faculty of Information Technology, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, 10520, Thailand; Computational Intelligence Laboratory Faculty of Information Technology, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, 10520, Thailand",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,291,296,"The ant colony optimization (ACO) algorithm frequently gets trapped around local optimum solutions and does not approach the global optimum solution of vehicle routing problem. This work attempts to remedy this drawback by modifying the ant system (AS) algorithm, an instance of ACO. The modification includes a new method of route construction, new weight for improving the pheromone density of each route, and introduction of SA to improve the quality of the solutions from local search. It is called an enhanced ant colony optimization with local search or EACOL. A performance test was performed on EACOL on 10 standard datasets comparing it to those of the ant system algorithm and elitist ant system, and the results show that the proposed algorithm performs better than these two algorithms on these datasets.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466388,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466388,vehicle routing problem;ant colony optimization;ant system;simulated annealing,Urban areas;Optimization;Ant colony optimization;Vehicle routing;Traveling salesman problems;Genetic algorithms;Mathematical model,ant colony optimisation;search problems;vehicle routing,enhanced ant colony optimization;local search;ant system algorithm;elitist ant system;local optimum solutions;global optimum solution;vehicle routing problem;route construction;EACOL;AS,,1,14,,,,,IEEE,IEEE Conferences,,,,,,
Development of an Automatic Answering System to Arithmetic Questions,K. C. Win; N. L. Wah,"University of Computer Studies, Mandalay, Mandalay, Myanmar; University of Computer Studies, Mandalay, Mandalay, Myanmar",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,281,285,"Nowadays, there has been a huge interest in answering the arithmetic questions expressed in Natural Language. Although there are some useful researches in solving word problems, there are still some limitations since the answers of the Math Word Problems (MWP) cannot be easily obtained with the approach of keyword and/or pattern matching. According to this motivation, an approach to generate an equation from the problem and form a solution is proposed. The aim of this proposed work is to implement an Automatic Question Answering System that can operate operations between numbers for the elementary word problems. The system is implemented with the unit solving graph and the arithmetic solver. As the system is resulted the equation along with the solution, an elementary student can gain many benefits from this. And the system is tested and evaluated the benchmark dataset from ARIS system (Hosseini et. al., 2014). The system is able to solve 83.55% of the benchmark dataset and outperforms the ARIS system by over the accuracy of 7%.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466459,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466459,Math Word Problems (MWP);Natural Language;Question Answering System,Cognition;Semantics;Mathematical model;Knowledge discovery;Natural language processing,computational complexity;natural language processing;network theory (graphs);pattern matching;question answering (information retrieval),elementary word problems;arithmetic solver;ARIS system;automatic answering system;arithmetic questions;pattern matching;automatic question answering system;natural language;Math Word problems;MWP,,,9,,,,,IEEE,IEEE Conferences,,,,,,
Improved Stacking Model Fusion Based on Weak Classifier and Word2vec,J. Liu; W. Shang; W. Lin,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,820,824,"Stacking model Fusion is a combination classification method for natural language processing and text categorization. Compared to a single weak classifier, model Fusion has the advantage of combining the classification strengths of multiple classifiers, so the combination classifier is often more accurate than a single classifier, and the research of this field has been developed rapidly in recent years, and the combination classifier has been applied in various natural language processing tasks. But only by using the prediction results of the first layer weak classifier to train the second layer classifier, it has a strong limitation, only considers the training of the classification result and ignores the semantic information. We think that the method of training the weak classifier by TFIDF to the document, the expression of the document is not enough, only the information about the frequency of the document and the document is lack of the semantic information of the word2vector. In this paper, a new combination classification method is proposed, which combines the various weak classifiers trained by TFIDF and Word2vector to express the documents in many aspects, and the feature expression can fully utilize the information provided by the document. It has better classification effect than individual word2vector expression and classification and simple weak classifier combination classification.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466463,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466463,model fusion;TFIDF;word2vec;combination classifier,Classification algorithms;Training;Stacking;Text categorization;Semantics;Computational modeling;Machine learning algorithms,learning (artificial intelligence);natural language processing;pattern classification;sensor fusion;text analysis,Word2vec;combination classification method;text categorization;classification strengths;combination classifier;natural language processing tasks;layer classifier;semantic information;simple weak classifier combination classification;stacking model fusion;word2vector expression,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Measuring the Correlation of Personal Identity Documents in Structured Format,S. Dangalla; C. Lakmal; C. Wickramarathna; C. Herath; G. Dias; S. Fernando,"Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,240,245,"Personal identity documents play a major role in every citizen's life and the authorities responsible for validating them typically require human intervention to manually crosscheck multiple documents belonging to an individual. The world is rapidly replacing physical documents with digital documents where every piece of data is stored digitally in a machine-readable and structured format. In this paper, we describe a technique to extract identity data from a structured data format and calculate a normalized correlation score for personal identity documents. Experimental results show that the proposed technique effectively calculates the correlation score for personal identity documents.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466498,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466498,correlation;score;identity;documents;attributes;Levenshtein;Soundex;normalized;similarity;idstack,Correlation;Data mining;Phonetics;Finance;Classification algorithms;Documentation;Government,document handling,structured data format;identity data;digital documents;physical documents;multiple documents;personal identity documents;structured format,,,25,,,,,IEEE,IEEE Conferences,,,,,,
Smart Self Position Aligning Chair for a Modern Conference Room,F. Anzum; F. Ahmed; M. S. Azim; M. Hossain; S. Zaman; F. Hasib; S. A. Ahsan,"Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, 1216, Bangladesh",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,263,268,"We are surrounded by the blessings of modern technologies and smart systems that facilitate our everyday lives by getting us interacted with the advanced computing systems, automation, artificial intelligence and so on. The world has seen an outburst of smart devices in the last decade. To keep a significant contribution to the modern technological use, our proposed model adds to the growing need of smart systems. In this paper, a design of self-position aligning chair incorporated with the features of self-parking autonomous robot has been proposed. It reduces both human efforts and time consumption in the process of furnishing and decorating a conference room. Experimental results showed that the proposed model is more cost effective and affordable than the likely systems available till date. This work modernizes our lifestyles by reducing human efforts, saving time and also by maintaining more decorative working places.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466430,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466430,smart conference room;self-position aligning chair;object detection;obstacle detection and avoidance;image processing;automation and robotics,Bluetooth;Sensors;Cameras;Wheels;Automation;Microcontrollers;Smart phones,artificial intelligence;mobile robots;position control,smart self position aligning chair;modern conference room;artificial intelligence;smart devices;self-parking autonomous robot,,,23,,,,,IEEE,IEEE Conferences,,,,,,
Research on the Business Process Improvement and Reengineering of Multimedia Audio-visual in Colleges,C. Lin; X. Chen; R. Ye,"Network Information Center, Xiamen, China; Network Information Center, Xiamen, China; Network Information Center, Xiamen, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,881,887,"With the further development of modern educational technology, the construction of intelligent classrooms in colleges is in full swing, which brings great convenience to teachers and students. However, traditional multimedia audio-visual management of colleges has encountered a bottleneck in management and service. It is noted that business process reengineering (BPR) is used to improve their internal functions to better achieve business objectives. Organizational processes are identified, analyzed, and improved by applying BPR. In this paper, we use ESIA method for BPR and propose a model of multimedia audio-visual business based on ESIA method. This flexible framework forms a knowledge base that is not only useful for improving BPR application, but also provides a basis for future research in this context. We optimize and reengineer an existing process and related business processes. The process is applying for the use of public multimedia classroom. This work solves the problems of ambiguous positioning of duties, complex business processes, and duplication of data reporting in business processes. Also, it achieves the high efficiency and convenience of multimedia audio-visual business processes, and promotes the standardization of multimedia audio-visual education management.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466394,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466394,intelligent classroom;process reengineering;audiovisual management;university informatization,Business process re-engineering;Analytical models;Companies;Education;Visualization,audio-visual systems;business data processing;business process re-engineering;computer aided instruction;multimedia computing,ESIA method;BPR application;public multimedia classroom;complex business processes;multimedia audio-visual business processes;multimedia audio-visual education management;business process improvement;colleges;modern educational technology;intelligent classrooms;service;business process reengineering;organizational processes;multimedia audio-visual management,,,25,,,,,IEEE,IEEE Conferences,,,,,,
Research and Design of University Students Accurate Funding System,H. Yu; X. Li,"School Office of Northwestern, Polytechnical University, xi’an, 710072, China; Graduate Work Department of Northwestern, Polytechnical University, xi’an, 710072, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,836,840,"As an important project to protect people's livelihood and warm people's minds, student financial aid is an important content and an important measure for poverty alleviation and social justice. The national student financial aid policy has been continuously improved and the financial capital input has been continuously increased. This has laid a solid foundation for ensuring that a student will not be out of school due to family economic difficulties. However, how to accurately define impoverished students and give appropriate subsidies is an important problem faced by university funding work. With the development of information technology, the use of big data technology to develop accurate funding is a trend in colleges and universities. This article is based on big data technology to carry out research and design of university accurate funding system.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466501,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466501,accurate funding;big data technology;information technology,Big Data;Economics;Education;Standards;Password;Databases;Information technology,Big Data;economics;educational institutions;financial management;government policies;information technology,big data technology;university students accurate funding system;poverty alleviation;national student financial aid policy;financial capital input;family economic;information technology;university accurate funding system design;people livelihood,,,5,,,,,IEEE,IEEE Conferences,,,,,,
Distance-based Clustering of Moving Objects’ Trajectories from Spatiotemporal Big Data*,K. P. Wai; T. Nwe Aung,"Web Data Minig Lab, University of Computer Studies, Mandalay, Mandalay, Myanmar; Research and Development Department, University of Computer Studies, Mandalay, Mandalay, Myanmar",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,567,572,"With the rapid development of smart sensors, smartphones and social media, distributed sensors and tracking systems are generating overwhelming amounts of high velocity spatiotemporal big data. Clustering spatiotemporal data is an important way to mine hidden information behind moving object sampling data, such as understanding trends in movement patterns, gaining high popularity in geographic information and so on. However, the current approaches for clustering trajectory data generally do not apply for excessive costs in both scalability and computing performance for spatiotemporal big data. To find the clusters of moving objects' trajectories, the issue is to find a distance measurement method that respects the geographic distance and the semantic similarity for each trajectory. Therefore, a distance measure to compute the spatial similarity between trajectories based on both geographical features and semantic features of motion is proposed in this research, then a framework for clustering moving objects trajectories is also designed to find out the groups of similar paths from big spatiotemporal data. The cluster quality of the proposed method is validated by means of external and internal validation criteria and is practically evaluated by TDrive datasets which is real trajectory dataset.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466465,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466465,spatiotemporal big data;moving object’ trajectories;geographic distance;semantic similarity,Trajectory;Semantics;Spatiotemporal phenomena;Clustering algorithms;Big Data;Hidden Markov models;Global Positioning System,Big Data;distance measurement;geographic information systems;pattern clustering,distance-based clustering;smart sensors;distributed sensors;high velocity spatiotemporal big data;object sampling data;geographic information;trajectory data;distance measurement method;geographic distance;distance measure;big spatiotemporal data;cluster quality;trajectory dataset;moving objects trajectories;spatiotemporal data clustering,,,15,,,,,IEEE,IEEE Conferences,,,,,,
Human Identification System Based on Statistical Gait Features,K. Z. Htun; S. Maung Maung Zaw,"Research and Development Image Processing Lab, University of Computer Studies, Mandalay (UCSM), Mandalay, Myanmar; Faculty of Computer System and Technologies, University of Computer Studies, Mandalay (UCSM), Mandalay, Myanmar",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,508,512,"A variety of automated gait-based human identification system is a biometric technology designed to identify people by analyzing how they walk. However, ""intra-class variability"" including carrying bag, clothing, and view angle variation has a significant influence on gait recognition performance. Speed Up Robust Features (SURF) is a scale and rotation -invariant interest point detector and descriptor but this algorithm might not sufficiently return a sufficient number of features. Therefore, this paper proposes statistical features extraction based on Speed Up Robust Features (SURF). The proposed system contains four parts are subject motion detection, human silhouette extraction, gait feature extraction and gait classification. A moving subject is first identified from the input video sequence. We extract human silhouettes using background subtraction method. For feature extraction, first and second order statistical features and gray level co-occurrence matrix statistical features calculated from the result of Speed Up Robust Features (SURF). Then, Meta-sample based sparse representation method (MSRC) method uses to classify the proposed features for human identification. The experimental result is evaluated on CASIA-B (multi-view gait database). According to our results, our approach is able to significantly improve gait recognition accuracy and decrease computation time.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466396,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466396,Gait Recognition;Speed Up Robust Feature;Statistical Feature;MSRC,Feature extraction;Robustness;Detectors;Gait recognition;Computational modeling;Gray-scale;Image resolution,feature extraction;gait analysis;image representation;motion estimation;motion measurement;statistical analysis,rotation-invariant interest point detector;meta-sample based sparse representation method method;gait recognition performance;automated gait-based human identification system;gait recognition accuracy;gait database;SURF;gray level co-occurrence matrix statistical features;order statistical features;gait classification;gait feature extraction,,,18,,,,,IEEE,IEEE Conferences,,,,,,
Fully-Convolutional Siamese Networks for Football Player Tracking,Y. Ma; S. Feng; Y. Wang,"Synergy Innovation Center, Communication University of China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,330,334,"Automatically tracking footballer over a large-scale video dataset has a wide application in the intelligent explanation and analysis of football video. However, it is non-trivial due to two reasons: occlusion in targets are getting close and even if they collide with each others, and large variations in their silhouettes. Towards this end, we propose a scheme comprising of two components. In particular, we build a Fully-Convolutional Siamese Network (FCSN for short) trained end-to-end on the ILSVRC15 dataset to extract a rich set of visual features and obtain a generic target representation. We then, in the second component, fine-tune FCSN on a large number of videos and images which contain many similar objects to increase the ability of the network to deal with occlusion. FCSN is capable of extracting rich visual features and distinguishing similar objects, which effectively solves the large variations and occlusion problem. Extensive experiments on a large-scale football dataset have well-validated our model.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466503,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466503,football player tracking;Siamese network;similarity learning;deep learning,Target tracking;Training;Feature extraction;Visualization;Correlation;Training data,convolution;feature extraction;feedforward neural nets;image representation;sport;video signal processing,large-scale football dataset;football video;ILSVRC15 dataset;generic target representation;fully-convolutional siamese networks;football player tracking;FCSN;rich visual feature extraction,,,48,,,,,IEEE,IEEE Conferences,,,,,,
